"Match","sarilhos_1","formos_1","series_1","sarilhos_2","formos_2","series_2","w_1","w_2"
1,7.21,4.51,2.78,5.5,3.03,6.23,1,5
2,6.73,6.48,1.44,5.23,4.39,5.1,1,5
3,8.27,1.98,4.3,6.75,7.35,1.12,5,3
4,2.52,5.85,7.53,7.95,4.98,2.18,5,0
5,1.65,4.55,8.67,2.04,3.28,9.31,5,0
6,7.79,5.12,2.25,1.66,7.19,6.81,5,4
7,0.07,8.92,6.89,5.39,4.48,5.63,1,5
8,5.39,8.83,1.3,2.77,8.61,3.86,4,5
9,4.67,9.68,0.85,6.14,8.37,0.65,5,4
10,2.99,4.18,8.38,6.3,1.81,6.74,5,1
11,4.47,5.9,5.24,5.88,7.92,1.87,5,0
12,3.46,2.62,8.33,6.97,0.33,7.99,5,4
13,0.24,5.09,8.98,2.06,8.9,4.44,5,0
14,5.68,1.52,7.24,1.64,7.56,6.03,5,2
15,8.6,0.65,5.66,7.72,1.52,6.53,2,5
16,0.37,9.95,4.87,3.94,7.09,3.85,1,5
17,4.54,2.45,8.34,7.21,3.79,4.83,3,5
18,3.62,2.75,8.25,9.56,4.57,1.04,5,4
19,2.5,6.03,6.43,4.99,3.91,6.24,0,5
20,5.64,6.61,3.05,7.55,4.16,2.73,5,4
21,0.66,6.99,7.11,5.36,5.41,3.37,5,0
22,4.71,7.59,2.83,3.98,5.57,4.84,1,5
23,7.27,0.06,7.14,7.74,0.4,7.2,2,5
24,3.77,5.57,5.54,2.53,4.03,7.98,5,3
25,8.28,6.29,0.38,3.96,8.43,2.42,5,0
26,6.7,2.91,5.57,1.45,7.69,5.58,5,0
27,9.46,3.74,1.49,4.1,2.25,8.46,3,5
28,8.61,5.69,1.11,0.48,6.52,8.12,0,5
29,6.52,2.5,5.86,7.78,6.05,2.06,3,5
30,6.51,7.85,1,5.2,9.62,0.72,5,0
31,9.31,3.41,2.14,4.85,6.33,3.47,5,3
32,0.94,6.48,7.42,7.82,2.9,4.12,5,3
33,7.56,0.8,6.42,0.39,5.51,9.54,1,5
34,6.83,5.41,2.79,4.59,4.34,5.98,4,5
35,4.17,3.12,8,1.95,5.46,7.14,4,5
36,2.38,6.54,6.04,3.3,2.32,9.05,2,5
37,2.78,9.79,1.59,1.6,8.79,3.68,1,5
38,5.44,4.64,4.58,8.46,4.33,2.07,5,3
39,3.1,9.61,2.38,6.26,2.2,5.89,0,5
40,3.93,4.27,5.72,6.36,5.71,2.22,5,1
41,6.09,0.69,8.35,0.78,9.89,4.01,5,0
42,6.49,7.46,0.28,5.94,3.73,5.41,0,5
43,1.04,4.99,9.14,2.31,8.55,3.75,5,0
44,7.57,6.56,1.01,6.91,4.79,2.84,0,5
45,0.38,9.75,4.22,0.33,8.01,6.07,0,5
46,2.27,9.01,3.49,1.99,8.03,5.28,0,5
47,9.84,4.76,0.89,6.81,1.37,6.23,5,1
48,7.77,1.23,6.29,9.35,4.12,1.3,5,2
49,7.7,1.26,6.92,2.88,9.77,2.84,5,0
50,2.79,3.67,9.24,6.94,3.52,3.78,5,2
51,5.61,6,2.62,7.09,4.64,4.3,0,5
52,9.67,4.26,1.3,4.63,7.41,3.24,5,0
53,2.76,2.51,9.86,2.49,4.61,7.67,0,5
54,4.33,8.95,2.43,1.69,7.91,5,2,5
55,8.13,6.58,0.69,1.31,7.6,5.7,4,5
56,2.54,9.65,3.01,5.36,7.48,2.53,0,5
57,4.9,3.09,6.69,6.66,5.32,2.56,5,2
58,8.75,1.5,4.8,5.87,7.72,1.71,5,0
59,1.36,6.37,6.77,1.62,4.55,9.19,2,5
60,0.86,4.69,9.63,4.69,1.13,9.28,5,1
61,5.03,2.74,6.9,6.61,5.7,1.28,5,0
62,4.76,4.99,4.64,6.04,2.99,6.44,2,5
63,1.33,4.42,9.97,8.35,3.79,3.73,3,5
64,4.97,4.75,5.53,0.59,7.52,6.36,5,0
65,0.94,7.07,6.16,4.01,8.24,2.85,5,0
66,3.14,7.5,4.45,0.05,5.34,9.64,1,5
67,8.65,0.52,5.17,0.63,6.07,7.93,0,5
68,2.56,4.41,7.48,4.61,9.03,0.68,5,0
69,8.88,3.89,1.55,2.76,4.57,7.84,1,5
70,4.59,0.76,8.69,7.88,0.92,5.58,5,3
71,4.19,6.57,4.17,3,6.75,5.51,1,5
72,8.37,5.3,1.53,2.6,5.26,6.92,1,5
73,1.74,2.99,9.51,5.72,5.16,3.74,1,5
74,1.61,9.95,3.11,1.48,6.33,6.86,0,5
75,3.42,3.83,8.26,2.05,8.58,4.66,5,0
76,7.4,2.52,6.22,2.46,7.66,5.1,5,0
77,6.84,6.69,1.54,4.89,8.06,1.34,5,0
78,0.53,9.74,4.86,6.67,1.48,7.16,0,5
79,2.92,2.68,9.33,9.16,5,0.45,1,5
80,8.59,3.05,3.89,9.27,5.53,0.1,5,2
81,8.5,4.83,1.88,7.69,4.87,1.84,5,0
82,7.84,6.68,1.27,1.04,8.67,4.72,5,1
83,1.82,9.47,3.8,6.28,7.94,0.16,5,4
84,5.69,4.14,4.7,3.34,6.74,5.63,4,5
85,7.09,4.14,3.69,5.05,9.66,0.21,5,1
86,8.94,5.86,0.18,8.62,0.37,5.76,5,3
87,6.04,8.56,0.92,4.2,3.03,6.87,1,5
88,5.75,5.18,3.8,2.01,8.64,3.67,5,0
89,0.1,9.12,4.89,3.71,7.43,4.65,0,5
90,7.47,4.37,3.99,5.22,5.23,4.06,5,1
91,5.67,4.38,4.45,3.94,6.24,5.72,3,5
92,8.7,3.09,3.25,3.31,7.15,5.38,5,3
93,2.61,4.95,6.8,6.38,6.94,0.58,5,0
94,7.67,3.4,4.09,7.21,3.66,3.46,5,1
95,5.17,9.76,0.14,6.6,3.26,4.42,0,5
96,3.04,8.35,2.44,8.96,4.61,1.74,0,5
97,3.55,2.84,8.67,0.96,5.48,8.17,0,5
98,2.92,7.83,3.81,3.89,1.21,9.86,1,5
99,1.36,6.07,7.58,7.99,0.26,6.76,5,0
100,4.23,8.73,2.94,7.81,2.76,4.37,1,5
